HolderAddress,Balance,PendingBalanceUpdate
0x2a479056fac97b62806cc740b11774e6598b1649,194773.0777,No
0xb5d85ca38a9cbe63156a02650884d92a6e736ddc,13500517.11,No
0xb9b09264779733b8657b9b86970e3db74561c237,576401.609,No
0x7c1ea00adf67874a1ceb1b2ce68140ebf87a0bab,2.63E-05,No
0x988ed2166fd1ae04d4cfb6040a4c64fde59df2fa,0.000336,No
0x99fefbc5ca74cc740395d65d384edd52cb3088bb,0.008589272,No
0x9cbed1220e01f457772cee3aad8b94a142fc975f,1371861.828,No
0x000000000000000000000000000000000000dead,56674.74357,No
0x28233c517116dfe511376dd4c9bd27563fb57609,57.82859373,No
0x4291ab8a26efdf45a89f1b4ba2aad8229a778a9b,0.00010864,No
0x0dc5d430c3823b390c6c840df8f6d7c723f1d126,55.24518968,No
0x5d38f4f6ab46e047c364ba0c2c7f6e98fb9addf8,441.3905204,No
0xba5edf064de4b8ff0c15c54ff34760fa9f031ba5,0.00014756,No
0x00cfa45e6bffe492b19c974d21f68f63eb8092b5,1600,No
0x19b8b60f3628fc8fd9b43bf2b184b4e6ff24cc9a,9.36E-06,No
0x31caf8574c488c5ad2720ad1c48fb12e101e1ef0,0.000128771,No
0xee8f22d3d8934b5b798377a210a71e9470100d22,0.00042,No
0xd7aa178bb566c614d75b3aa0e64ab90c2feff80d,6.96E-05,No
0x192b447d08d87318b6d4c1f1eb3159e948700098,1460.280166,No
0xa4ac73f7cf533a6602ed3527e391c40fc54d5f91,0.00042,No
0x953480c82d7914176fa146aacbc524aef61ffe17,8.39E-07,No
0xd4d50342c08b5f2d283709c4f30b14412a01f89f,10385.34496,No
0x095ad3d17697be667ace2eb11e07e53d5a3cc92c,4.256196808,No
0xfb309651eeb40c2cf1535bda4a32e161907f0657,2.56E-05,No
0xb7660c0c8538b826169d9287eae4a098eb0c4354,59.54350668,No
0x212c35d2fe5b5395a0e384d3ef0b5a5c34d79a27,1600.000667,No
0xf3ac6ed78555762a12e498de9faece69acb2d561,8.68E-06,No
0x93d3dc2f45204f887ec0b3eef96e56718dee9778,36.04018433,No
0xf04847ea3da18080b4096d1b1d16f969ebda4685,0.00021,No
0x87f39942fff768b99d648efb8800a3502204fff2,0.611977847,No
0xb60612590d1410e112ca06f06db4ca1f0827df34,0.000105198,No
0x77804e227c515443376f20f8fcbeccf6de7380e7,3.64E-05,No
0x3a89408e41f6dd7f1870fe53bee6f01f48fb1da6,0.000279978,No
0x07bb82c5abc6a8c25e849d6cd6298b11bdc15bb5,3.57E-06,No
0xcb72e4e3f54fbd31e4c33e6cc2495a39afb6b3c1,47.30596176,No
0x9fefd55674ebc732075ee6e361b696e891633724,3.51E-05,No
0x2b18901d7b76b7485357fc13f7565bd31e23f971,2.33E-05,No
0xd757b7ff351da9f501daab78707378bbddecb918,1.95E-06,No
0x69b516ed75d419c5bba957baff02c07d8641ef28,2.44E-06,No
0x3e2524eef486533fefbfd221498ff6a96530a964,833.3333333,No
0x73c02124d38538146ae2d807a3f119a0fad3209c,301531.1834,No
0x43e963487cd3599e8f58cfe9e34b2eed59451e97,1.977838467,No
0xd3b883e92cf00b7d6b47bf86273207ef9a234be2,0.000154216,No
0x87b165aa5d8af4e95d86f088b7f0ef067b70b225,1.98E-06,No
0xd3106a0191cd77528d52e48370b66a94c628778c,24.85714286,No
0x40a5ddbd38d938fa9da88625e97c0613f2eb2d24,7.00E-05,No
0xe53d3f6098fde7804acd5d068fb84675872651ec,303928.2155,No
0x22faf248fad0c98f1cdfdc23481ea6c6ec1a2edf,15064.94829,No
0x99aa4f42b3d94c64d6b83896e4cad1fe8bae4dcf,2.80E-05,No
0xd3734320b847b92a70d4ba20e7b6a83d4393d3be,0.162946442,No
0xcdf16a03a01071de6584cd104884c753715abe7f,1.40E-05,No
0xcf9cfd12e8b9d19734f74a0f029c16154cb4f918,1333.337533,No
0xf983696419852b943bb9f9636634718fd420e9eb,309.3333333,No
0x3cfb96b0d0f203cbc3b225ada8a4f39f60aff2f4,833.3333333,No
0x484bfcbacc65a6019943b2ba4bcd69a1a2b72e59,0.033905582,No
0x27df46ddd86d9b7afe3ed550941638172eb2e623,3832340.684,No
0xd736a385d0fc3085a6e3898663aa05964cb9b2dc,0.000105,No
0xc9ac14f458342d31e9ba7d36cb1361bb2152cc5d,50,No
0x81a757ecccc3cc6d3ee47f22bd255327b4397672,5819.528187,No
0x2e34041260c12ec98d1d3e2ccacea44b28ade8eb,0.000105,No
0xcd1f00e5bfdc2ba5eed6e6f99b789f27969d8dc9,339.666738,No
0x3692288778c2fc2b9cd49c7d364f8840e06916e3,3.60E-05,No
0xbcaef7e3d2c7eea75b2fda339d8467a75dc472d3,157.9600857,No
0xcad325df8300816ead4d6d39f742195a16233ad1,109.5800084,No
0x1413b00bbc0ae6c0cf057765f099dad2b584fc0c,8.49E-05,No
0x16f0a723220b3852182bc2cdb1e27fd65c280f31,50.00000314,No
